Metric,Value
CV_RMSE_mean,0.8731206550609374
CV_RMSE_std,0.0016567019039714446
CV_MAE_mean,0.6852471660394917
CV_MAE_std,0.001555782199894104
Holdout_RMSE,0.8728931555711225
Holdout_MAE,0.6845203566559622
Precision@10,0.6818664014586443
Recall@10,0.6346724916301765
